Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
22.6,69.0,1010.76,500.0
22.6,69.0,1010.75,496.67
22.6,69.0,1010.72,508.33
22.6,69.0,1010.74,509.17
22.6,69.0,1010.79,484.17
22.6,69.0,1010.72,493.33
22.7,69.0,1010.74,492.5
23.0,69.0,1010.74,441.67
23.0,69.0,1010.67,450.0
23.0,69.0,1010.76,510.0
23.0,69.0,1010.66,450.83
23.0,69.0,1010.69,442.5
23.0,69.0,1010.75,454.17
23.0,69.0,1010.8,498.33
23.0,69.0,1010.66,496.67
23.0,69.0,1010.68,494.17
23.0,69.0,1010.7,498.33
23.0,69.0,1010.73,519.17
23.0,69.0,1010.68,499.17
23.0,69.0,1010.65,470.0
